"id","text","creation_date","post_id","user_id","user_display_name","score"
"40321991","No problem ;) As @EdMorton says, his way is more effecient, looping over a list of files is usually unnecessary as the cat and pipe, I just found it usually more understandable when starting with awk.","2014-09-11 07:48:31.870 UTC","25769032","3627607","","1"
"49575981","@Disco3 I'm really unsure the answer works for the OP as he's looking to ignore files from their content, not their class or path.","2015-06-10 16:06:43.610 UTC","29914402","3627607","","1"
"62019948","yes, this is where you would return your instance of the ViewModel.  The problem is that you would still be responsible for creating the INavigationService and passing it into the ctor.  You can see what would need to be done here https://github.com/PrismLibrary/Prism/blob/master/Source/Xamarin/Prism.Unity.Forms/PrismApplication.cs#L49","2016-05-16 01:46:46.420 UTC","37243428","5420778","","1"
"51186277","That is correct.  You could grab it by range but then I think you would have to iterate the range doing it to each cell in the range.","2015-07-24 19:35:49.377 UTC","31618067","5073840","","1"
"56280381","@igor a template with a search result could absolutely do the job.","2015-12-14 14:35:57.933 UTC","34199651","","","1"
"52258783","@MAPK Sorry for the delay. For this case the code would be slightly different, testing first if the entry is `./.`. I've updated the answer","2015-08-24 15:58:58.687 UTC","31451767","3627607","","1"
"56109514","Again, you're absolutely allowed to answer yourself on SO and accept it. And honestly your solution sounds the best one as it does the filter on server side (I assume @coderanger answer does on client side on the results but I may be wrong).","2015-12-09 14:46:35.777 UTC","34175862","3627607","","1"
"47962230","@EdMorton I sticked to it as the original question had random order index and specified to keep this order in output. That's my note in the answer about it under the Warning. But indeed it could be done anyway aside of the 'work' arrays to speed up the search. I'll see if I've time to improve this later.","2015-04-28 13:11:08.890 UTC","29914402","3627607","","1"
"53767032","No, it can be anything you want. Something that describes the setting is best.  In the above code AffectedTerminals was the name of my application. So if you have a spreadsheet that handles IT invoices then you might call the app ""ITinvoices"".  The section is just a sub section for the regestry entry.  I'll explain in my answer in just a minute.","2015-10-06 13:21:44.200 UTC","32970785","5073840","","1"
"40215117","Seriously ? Is it not clear enought ? You machine obvisouly resolve www.opscode.com but can't get the install.sh file, so you have something preventing communication between your box and the website... At least make an effort to answer if you need a proxy or not or if you don't even know if you need one or not","2014-09-08 12:12:28.203 UTC","25723802","3627607","","2"
"6194477","thank you, Uberstein just showed me my wrong","2011-03-28 20:42:43.960 UTC","5464695","640989","","1"
"55843769","@ManishChristian Hopefully the OP checks back and tries option explicit.  As you know, there are a lot of ways to make things work, but it doesn't mean they are correct.","2015-12-02 14:02:41.547 UTC","34044542","5073840","","1"
"60850870","@user1471980 either `largedf <- do.cal(""rbind"",dflist)` or `rbindlist`from data.table package","2016-04-14 15:23:14.530 UTC","36626783","","","1"
"46504263","@fsdj Well the case has been discussed [Here](https://tickets.opscode.com/browse/CHEF-2421) with some trials about it.Comments on the PR linked in the ticket tell the why it is not in chef actually.","2015-03-19 08:50:05.177 UTC","29127184","3627607","","1"
"55975921","Thanks @barrowc. I didn't realize you had taken the code i posted and had not placed it inside your original sub.  i was just posting the part of your sub I had changed.","2015-12-06 01:45:33.777 UTC","34111598","5073840","","1"
"45573752","Oh and reviewed the doc for -j any attribute in this file is treated as normal level, that explain why you get nothing calling node.default","2015-02-20 19:51:14.010 UTC","28633767","3627607","","1"
"50844510","@DixieFlatline  Just an FYI,  You can also access the last row at anytime by  SourceSheet.UsedRange.Rows.Count  and the last column by SourceSheet.UsedRange.Columns.Count","2015-07-15 17:42:06.520 UTC","31436414","5073840","","2"
"56333213","@akrun quite busy at work lately ;) Thanks for the vote","2015-12-15 17:39:29.613 UTC","34295087","","","1"
"56146769","Personnaly I use a specific directory and pass the path to knife with -c option (this allow me to have two config for dev and prod orgs too)","2015-12-10 11:44:52.237 UTC","34199855","3627607","","1"
"56146490","In this case the first part if my answer give it, it's a permission problem of the Jenkins user to access the file in another user home dir.","2015-12-10 11:37:05.043 UTC","34199855","3627607","","1"
"40321991","No problem ;) As @EdMorton says, his way is more effecient, looping over a list of files is usually unnecessary as the cat and pipe, I just found it usually more understandable when starting with awk.","2014-09-11 07:48:31.870 UTC","25769032","3627607","","1"
"49575981","@Disco3 I'm really unsure the answer works for the OP as he's looking to ignore files from their content, not their class or path.","2015-06-10 16:06:43.610 UTC","29914402","3627607","","1"
"62019948","yes, this is where you would return your instance of the ViewModel.  The problem is that you would still be responsible for creating the INavigationService and passing it into the ctor.  You can see what would need to be done here https://github.com/PrismLibrary/Prism/blob/master/Source/Xamarin/Prism.Unity.Forms/PrismApplication.cs#L49","2016-05-16 01:46:46.420 UTC","37243428","5420778","","1"
"51186277","That is correct.  You could grab it by range but then I think you would have to iterate the range doing it to each cell in the range.","2015-07-24 19:35:49.377 UTC","31618067","5073840","","1"
"56280381","@igor a template with a search result could absolutely do the job.","2015-12-14 14:35:57.933 UTC","34199651","","","1"
"52258783","@MAPK Sorry for the delay. For this case the code would be slightly different, testing first if the entry is `./.`. I've updated the answer","2015-08-24 15:58:58.687 UTC","31451767","3627607","","1"
"56109514","Again, you're absolutely allowed to answer yourself on SO and accept it. And honestly your solution sounds the best one as it does the filter on server side (I assume @coderanger answer does on client side on the results but I may be wrong).","2015-12-09 14:46:35.777 UTC","34175862","3627607","","1"
"47962230","@EdMorton I sticked to it as the original question had random order index and specified to keep this order in output. That's my note in the answer about it under the Warning. But indeed it could be done anyway aside of the 'work' arrays to speed up the search. I'll see if I've time to improve this later.","2015-04-28 13:11:08.890 UTC","29914402","3627607","","1"
"53767032","No, it can be anything you want. Something that describes the setting is best.  In the above code AffectedTerminals was the name of my application. So if you have a spreadsheet that handles IT invoices then you might call the app ""ITinvoices"".  The section is just a sub section for the regestry entry.  I'll explain in my answer in just a minute.","2015-10-06 13:21:44.200 UTC","32970785","5073840","","1"
"40215117","Seriously ? Is it not clear enought ? You machine obvisouly resolve www.opscode.com but can't get the install.sh file, so you have something preventing communication between your box and the website... At least make an effort to answer if you need a proxy or not or if you don't even know if you need one or not","2014-09-08 12:12:28.203 UTC","25723802","3627607","","2"
"6194477","thank you, Uberstein just showed me my wrong","2011-03-28 20:42:43.960 UTC","5464695","640989","","1"
"55843769","@ManishChristian Hopefully the OP checks back and tries option explicit.  As you know, there are a lot of ways to make things work, but it doesn't mean they are correct.","2015-12-02 14:02:41.547 UTC","34044542","5073840","","1"
"60850870","@user1471980 either `largedf <- do.cal(""rbind"",dflist)` or `rbindlist`from data.table package","2016-04-14 15:23:14.530 UTC","36626783","","","1"
"46504263","@fsdj Well the case has been discussed [Here](https://tickets.opscode.com/browse/CHEF-2421) with some trials about it.Comments on the PR linked in the ticket tell the why it is not in chef actually.","2015-03-19 08:50:05.177 UTC","29127184","3627607","","1"
"55975921","Thanks @barrowc. I didn't realize you had taken the code i posted and had not placed it inside your original sub.  i was just posting the part of your sub I had changed.","2015-12-06 01:45:33.777 UTC","34111598","5073840","","1"
"45573752","Oh and reviewed the doc for -j any attribute in this file is treated as normal level, that explain why you get nothing calling node.default","2015-02-20 19:51:14.010 UTC","28633767","3627607","","1"
"50844510","@DixieFlatline  Just an FYI,  You can also access the last row at anytime by  SourceSheet.UsedRange.Rows.Count  and the last column by SourceSheet.UsedRange.Columns.Count","2015-07-15 17:42:06.520 UTC","31436414","5073840","","2"
"56333213","@akrun quite busy at work lately ;) Thanks for the vote","2015-12-15 17:39:29.613 UTC","34295087","","","1"
"56146769","Personnaly I use a specific directory and pass the path to knife with -c option (this allow me to have two config for dev and prod orgs too)","2015-12-10 11:44:52.237 UTC","34199855","3627607","","1"
"56146490","In this case the first part if my answer give it, it's a permission problem of the Jenkins user to access the file in another user home dir.","2015-12-10 11:37:05.043 UTC","34199855","3627607","","1"